,Company,Origin,Model,CC,Horsepower,Torque,Transmission,Drivetrain,Seating,Price(Lakhs),Year,Looks,Body,Engine,Cylinders
0,Aprilia,Italy,RS 660,659.0,100.0,67.0,6-speed Manual,Chain,2,10.99,2021,Sport,Naked,Parallel-twin,2
1,Aprilia,Italy,Tuono 660,659.0,100.0,67.0,6-speed Manual,Chain,2,11.99,2021,Sport,Naked,Parallel-twin,2
2,Aprilia,Italy,RS 125,124.9,15.0,12.0,6-speed Manual,Chain,2,4.49,2022,Sport,Racing,Single-cylinder,1
3,Aprilia,Italy,Shiver 900,896.0,95.0,90.0,6-speed Manual,Shaft,2,13.99,2022,Adventure,Naked,V-twin,2
4,Aprilia,Italy,Tuono 1100,1077.0,175.0,121.0,6-speed Manual,Shaft,2,19.99,2022,Adventure,Naked,V-twin,2
5,Benelli,Italy,TNT 125,125.0,11.0,10.8,Manual,Chain,2,1.25,2023,Classy,Sport,Single,1
6,Benelli,Italy,TNT 250,250.0,27.0,21.2,Manual,Chain,2,1.75,2023,Sporty,Sport,Single,1
7,Benelli,Italy,TNT 300,300.0,39.0,26.5,Manual,Chain,2,2.0,2023,Classy,Sport,Single,1
8,Benelli,Italy,TNT 600i,600.0,85.0,54.6,Manual,Chain,2,4.0,2023,Sporty,Sport,Parallel-twin,2
9,Benelli,Italy,TNT 899,899.0,116.0,86.3,Manual,Chain,2,6.0,2023,Sporty,Sport,Triple,3
10,Benelli,Italy,TRK 251,250.0,27.0,21.2,Manual,Chain,2,2.25,2023,Adventure,Adventure,Single,1
11,Benelli,Italy,TRK 502,500.0,47.0,46.0,Manual,Chain,2,3.5,2023,Adventure,Adventure,Parallel-twin,2
12,Benelli,Italy,Leoncino 500,500.0,47.0,46.0,Manual,Chain,2,3.25,2023,Retro,Cruiser,Parallel-twin,2
13,BMW,Germany,G 310 GS,313.0,34.0,28.0,6-speed Manual,Chain,2,3.0,2023,Adventure,Adventure,Single,1
14,BMW,Germany,G 310 R,313.0,34.0,28.0,6-speed Manual,Chain,2,2.5,2023,Sporty,Roadster,Single,1
15,BMW,Germany,F 850 GS,853.0,95.0,92.0,6-speed Manual,Shaft,2,6.0,2023,Adventure,Adventure,Parallel-twin,2
16,BMW,Germany,F 850 GS Adventure,853.0,95.0,92.0,6-speed Manual,Shaft,2,8.0,2023,Adventure,Adventure,Parallel-twin,2
17,BMW,Germany,R 1250 GS,1170.0,136.0,112.0,6-speed Manual,Shaft,2,12.0,2023,Adventure,Adventure,Boxer,2
18,BMW,Germany,R 1250 RT,1170.0,136.0,112.0,6-speed Manual,Shaft,2,14.0,2023,Touring,Cruiser,Boxer,2
